class_pair,total_pairs,pairs_with_chunks,pairs_without_chunks,zero_pair_keys
Pharmaceutical Or Clinical Psychedelic | Pharmaceutical Or Clinical Psychedelic,1,0,1,ketamine|ketamine
Pharmaceutical Or Recreational | Pharmaceutical Or Recreational,1,0,1,amphetamine_stims|amphetamine_stims
Pharmaceutical | Pharmaceutical,1,0,1,methylphenidate|methylphenidate
Pharmaceutical | Pharmaceutical Or Clinical Psychedelic,1,0,1,ketamine|methylphenidate
Pharmaceutical | Recreational Stimulant,1,0,1,cocaine|methylphenidate
Recreational Stimulant | Recreational Stimulant,1,0,1,cocaine|cocaine
Ceremonial Or Recreational | Non Ceremonial,1,1,0,
Ceremonial Or Recreational | Pharmaceutical Or Clinical Psychedelic,1,1,0,
Ceremonial Or Recreational | Pharmaceutical Or Recreational,1,1,0,
Ceremonial Or Recreational | Recreational Stimulant,1,1,0,
Non Ceremonial | Pharmaceutical Or Recreational,1,1,0,
Non Ceremonial | Recreational Stimulant,1,1,0,
Pharmaceutical Or Clinical Psychedelic | Pharmaceutical Or Recreational,1,1,0,
Pharmaceutical Or Clinical Psychedelic | Recreational Stimulant,1,1,0,
Pharmaceutical Or Recreational | Recreational Stimulant,1,1,0,
Pharmaceutical | Pharmaceutical Or Recreational,1,1,0,
